state,year,total_budget_crore,health_allocation_crore,health_allocation_pct,education_allocation_crore,education_allocation_pct,agriculture_allocation_crore,agriculture_allocation_pct,infrastructure_allocation_crore,infrastructure_allocation_pct,rural_dev_allocation_crore,rural_dev_allocation_pct,defence_allocation_crore,defence_allocation_pct,social_welfare_allocation_crore,social_welfare_allocation_pct,water_allocation_crore,water_allocation_pct,energy_allocation_crore,energy_allocation_pct,urban_allocation_crore,urban_allocation_pct,admin_allocation_crore,admin_allocation_pct
Chhattisgarh,1996,18889,1800.12,9.53,4000.69,21.18,2757.79,14.6,2147.68,11.37,1327.9,7.03,351.34,1.86,1203.23,6.37,868.89,4.6,1760.45,9.32,986.01,5.22,1684.9,8.92
Chhattisgarh,1997,18668,1370.23,7.34,3266.9,17.5,2665.79,14.28,2191.62,11.74,1881.73,10.08,791.52,4.24,1624.12,8.7,1021.14,5.47,1573.71,8.43,752.32,4.03,1528.91,8.19
Chhattisgarh,1998,20993,1339.35,6.38,3094.37,14.74,1876.77,8.94,3629.69,17.29,2168.58,10.33,1013.96,4.83,2065.71,9.84,1383.44,6.59,1324.66,6.31,1545.08,7.36,1549.28,7.38
Chhattisgarh,1999,21101,2219.83,10.52,4496.62,21.31,2164.96,10.26,2175.51,10.31,1394.78,6.61,983.31,4.66,2209.27,10.47,960.1,4.55,1074.04,5.09,1747.16,8.28,1677.53,7.95
Chhattisgarh,2000,26426,2378.34,9.0,5382.98,20.37,3305.89,12.51,3702.28,14.01,1781.11,6.74,494.17,1.87,1720.33,6.51,1487.78,5.63,1839.25,6.96,2180.14,8.25,2153.72,8.15
Chhattisgarh,2001,27493,1561.6,5.68,5685.55,20.68,3145.2,11.44,3750.05,13.64,3081.97,11.21,362.91,1.32,1932.76,7.03,1410.39,5.13,1674.32,6.09,1897.02,6.9,2993.99,10.89
Chhattisgarh,2002,27713,2821.18,10.18,3633.17,13.11,2372.23,8.56,5470.55,19.74,2555.14,9.22,709.45,2.56,2987.46,10.78,1133.46,4.09,2305.72,8.32,1934.37,6.98,1790.26,6.46
Chhattisgarh,2003,31151,3476.45,11.16,6672.54,21.42,2308.29,7.41,3825.34,12.28,3548.1,11.39,1202.43,3.86,3192.98,10.25,1224.23,3.93,1834.79,5.89,1252.27,4.02,2610.45,8.38
Chhattisgarh,2004,31994,2709.89,8.47,5374.99,16.8,2946.65,9.21,5413.38,16.92,3628.12,11.34,1036.61,3.24,1929.24,6.03,1430.13,4.47,2041.22,6.38,2517.93,7.87,2965.84,9.27
Chhattisgarh,2005,34910,2649.67,7.59,6049.9,17.33,2485.59,7.12,6765.56,19.38,4238.07,12.14,1748.99,5.01,3051.13,8.74,1117.12,3.2,2454.17,7.03,1584.91,4.54,2761.38,7.91
Chhattisgarh,2006,38472,2662.26,6.92,7675.16,19.95,4347.34,11.3,6494.07,16.88,2943.11,7.65,961.8,2.5,2862.32,7.44,2123.65,5.52,3489.41,9.07,2065.95,5.37,2843.08,7.39
Chhattisgarh,2007,39888,4363.75,10.94,6194.61,15.53,4363.75,10.94,6741.07,16.9,3107.28,7.79,933.38,2.34,3777.39,9.47,2141.99,5.37,3689.64,9.25,1655.35,4.15,2915.81,7.31
Chhattisgarh,2008,48912,3282.0,6.71,7644.95,15.63,6823.22,13.95,9151.44,18.71,3751.55,7.67,1790.18,3.66,3751.55,7.67,2166.8,4.43,2885.81,5.9,2611.9,5.34,5047.72,10.32
Chhattisgarh,2009,47494,3020.62,6.36,8719.9,18.36,5248.09,11.05,7090.85,14.93,4820.64,10.15,1519.81,3.2,5029.61,10.59,1937.76,4.08,3918.26,8.25,2721.41,5.73,3462.31,7.29
Chhattisgarh,2010,54434,5525.05,10.15,10696.28,19.65,4909.95,9.02,7490.12,13.76,5105.91,9.38,1083.24,1.99,4556.13,8.37,2591.06,4.76,4474.47,8.22,2063.05,3.79,5938.75,10.91
Chhattisgarh,2011,56528,4533.55,8.02,9892.4,17.5,7619.97,13.48,9016.22,15.95,5144.05,9.1,2244.16,3.97,3866.52,6.84,3126.0,5.53,4098.28,7.25,3696.93,6.54,3289.93,5.82
Chhattisgarh,2012,64103,6519.28,10.17,10961.61,17.1,7634.67,11.91,6685.94,10.43,7942.36,12.39,2429.5,3.79,4807.73,7.5,3410.28,5.32,6294.91,9.82,3782.08,5.9,3634.64,5.67
Chhattisgarh,2013,62638,5825.33,9.3,11763.42,18.78,7078.09,11.3,9846.69,15.72,5649.95,9.02,1697.49,2.71,6144.79,9.81,2943.99,4.7,4691.59,7.49,3420.03,5.46,3576.63,5.71
Chhattisgarh,2014,65512,5686.44,8.68,15074.31,23.01,4697.21,7.17,12558.65,19.17,4618.6,7.05,1565.74,2.39,5077.18,7.75,2116.04,3.23,4795.48,7.32,3963.48,6.05,5352.33,8.17
Chhattisgarh,2015,79982,6686.5,8.36,13596.94,17.0,10821.56,13.53,9045.96,11.31,9381.89,11.73,2983.33,3.73,7494.31,9.37,2527.43,3.16,8054.19,10.07,4039.09,5.05,5342.8,6.68
Chhattisgarh,2016,77244,7662.6,9.92,18283.65,23.67,6465.32,8.37,10976.37,14.21,5777.85,7.48,2850.3,3.69,6017.31,7.79,2039.24,2.64,6310.83,8.17,3699.99,4.79,7160.52,9.27
Chhattisgarh,2017,87909,9538.13,10.85,14109.39,16.05,11366.63,12.93,16017.02,18.22,5881.11,6.69,1450.5,1.65,9248.03,10.52,2830.67,3.22,5863.53,6.67,5344.87,6.08,6250.33,7.11
Chhattisgarh,2018,103661,9277.66,8.95,19363.87,18.68,10936.24,10.55,15352.19,14.81,9453.88,9.12,2425.67,2.34,9795.96,9.45,4581.82,4.42,8634.96,8.33,6934.92,6.69,6903.82,6.66
Chhattisgarh,2019,106722,8921.96,8.36,19476.76,18.25,9252.8,8.67,16563.25,15.52,9391.54,8.8,4887.87,4.58,10394.72,9.74,5154.67,4.83,7225.08,6.77,7193.06,6.74,8270.95,7.75
Chhattisgarh,2020,116390,12639.95,10.86,23778.48,20.43,17388.67,14.94,18028.81,15.49,10800.99,9.28,2060.1,1.77,8077.47,6.94,4853.46,4.17,6098.84,5.24,6436.37,5.53,6226.86,5.35
Chhattisgarh,2021,113497,12280.38,10.82,24878.54,21.92,11179.45,9.85,15651.24,13.79,11020.56,9.71,2939.57,2.59,10736.82,9.46,4539.88,4.0,5663.5,4.99,4085.89,3.6,10509.82,9.26
Chhattisgarh,2022,126531,10603.3,8.38,24698.85,19.52,9755.54,7.71,18397.61,14.54,13741.27,10.86,5213.08,4.12,10653.91,8.42,3694.71,2.92,7035.12,5.56,9629.01,7.61,13108.61,10.36
Chhattisgarh,2023,138077,15285.12,11.07,18861.32,13.66,16127.39,11.68,19883.09,14.4,15989.32,11.58,2112.58,1.53,13103.51,9.49,6834.81,4.95,8339.85,6.04,11253.28,8.15,10300.54,7.46
Chhattisgarh,2024,149123,16224.58,10.88,25470.21,17.08,20355.29,13.65,24187.75,16.22,10528.08,7.06,5845.62,3.92,11810.54,7.92,5189.48,3.48,11646.51,7.81,9409.66,6.31,8440.36,5.66
Goa,1995,3488,250.09,7.17,579.36,16.61,269.27,7.72,537.15,15.4,318.45,9.13,130.1,3.73,279.39,8.01,204.05,5.85,256.37,7.35,202.3,5.8,461.46,13.23
Goa,1996,4455,374.67,8.41,543.96,12.21,590.73,13.26,718.59,16.13,482.48,10.83,200.03,4.49,419.66,9.42,119.84,2.69,375.11,8.42,201.37,4.52,429.02,9.63
Goa,1997,4680,453.49,9.69,889.2,19.0,483.44,10.33,723.53,15.46,363.64,7.77,128.23,2.74,358.96,7.67,223.7,4.78,431.03,9.21,193.28,4.13,431.03,9.21
Goa,1998,4535,484.79,10.69,719.7,15.87,639.89,14.11,583.2,12.86,275.27,6.07,182.31,4.02,420.85,9.28,229.92,5.07,320.17,7.06,310.65,6.85,367.79,8.11
Goa,1999,4643,433.66,9.34,753.56,16.23,505.62,10.89,611.48,13.17,400.23,8.62,220.08,4.74,359.37,7.74,235.4,5.07,395.12,8.51,312.01,6.72,416.48,8.97
Goa,2000,5730,342.65,5.98,844.03,14.73,801.05,13.98,892.16,15.57,429.18,7.49,272.75,4.76,474.44,8.28,152.99,2.67,597.64,10.43,291.08,5.08,633.17,11.05
Goa,2001,5534,542.33,9.8,831.21,15.02,828.44,14.97,732.15,13.23,594.35,10.74,125.62,2.27,421.14,7.61,338.13,6.11,334.81,6.05,329.83,5.96,456.0,8.24
Goa,2002,6684,487.26,7.29,1376.24,20.59,876.94,13.12,707.17,10.58,651.69,9.75,123.65,1.85,453.18,6.78,356.93,5.34,356.93,5.34,510.66,7.64,784.03,11.73
Goa,2003,7635,672.64,8.81,1184.19,15.51,568.81,7.45,1142.96,14.97,894.06,11.71,135.14,1.77,575.68,7.54,479.48,6.28,470.32,6.16,629.12,8.24,881.84,11.55
Goa,2004,6972,849.19,12.18,1045.8,15.0,785.74,11.27,728.57,10.45,744.61,10.68,209.16,3.0,686.74,9.85,349.99,5.02,416.23,5.97,419.71,6.02,736.24,10.56
Goa,2005,8663,577.82,6.67,1323.71,15.28,1203.29,13.89,1490.04,17.2,810.86,9.36,455.67,5.26,652.32,7.53,283.28,3.27,598.61,6.91,391.57,4.52,874.96,10.1
Goa,2006,8919,792.9,8.89,1752.58,19.65,1026.58,11.51,1543.88,17.31,866.03,9.71,198.0,2.22,688.55,7.72,368.35,4.13,730.47,8.19,436.14,4.89,515.52,5.78
Goa,2007,10199,1106.59,10.85,1720.57,16.87,684.35,6.71,1417.66,13.9,941.37,9.23,304.95,2.99,1050.5,10.3,586.44,5.75,914.85,8.97,417.14,4.09,1056.62,10.36
Goa,2008,10301,818.93,7.95,2034.45,19.75,1306.17,12.68,1975.73,19.18,1117.66,10.85,132.88,1.29,548.01,5.32,352.29,3.42,525.35,5.1,408.95,3.97,1081.61,10.5
Goa,2009,11014,1109.11,10.07,2080.54,18.89,1119.02,10.16,1924.15,17.47,765.47,6.95,368.97,3.35,1001.17,9.09,399.81,3.63,741.24,6.73,713.71,6.48,791.91,7.19
Goa,2010,12609,1138.59,9.03,2125.88,16.86,1446.25,11.47,2248.18,17.83,1288.64,10.22,184.09,1.46,1147.42,9.1,641.8,5.09,1132.29,8.98,494.27,3.92,762.84,6.05
Goa,2011,12719,1068.4,8.4,2368.28,18.62,1083.66,8.52,2104.99,16.55,1315.14,10.34,206.05,1.62,1139.62,8.96,619.42,4.87,704.63,5.54,1028.97,8.09,1078.57,8.48
Goa,2012,14708,1616.41,10.99,2332.69,15.86,1126.63,7.66,2726.86,18.54,1213.41,8.25,700.1,4.76,1504.63,10.23,400.06,2.72,1384.02,9.41,782.47,5.32,920.72,6.26
Goa,2013,15584,1617.62,10.38,2395.26,15.37,1703.33,10.93,2261.24,14.51,1559.96,10.01,561.02,3.6,1213.99,7.79,576.61,3.7,916.34,5.88,1101.79,7.07,1678.4,10.77
Goa,2014,15375,1431.41,9.31,2158.65,14.04,2109.45,13.72,1903.42,12.38,1406.81,9.15,410.51,2.67,907.12,5.9,914.81,5.95,1419.11,9.23,994.76,6.47,1718.92,11.18
Goa,2015,18353,1648.1,8.98,3151.21,17.17,1837.14,10.01,3195.26,17.41,1477.42,8.05,286.31,1.56,1359.96,7.41,814.87,4.44,1767.39,9.63,864.43,4.71,1954.59,10.65
Goa,2016,20765,2686.99,12.94,3174.97,15.29,2261.31,10.89,2807.43,13.52,2522.95,12.15,541.97,2.61,1852.24,8.92,552.35,2.66,1314.42,6.33,1439.01,6.93,1611.36,7.76
Goa,2017,20795,1921.46,9.24,4100.77,19.72,2189.71,10.53,3674.48,17.67,1549.23,7.45,958.65,4.61,2021.27,9.72,709.11,3.41,1043.91,5.02,1201.95,5.78,1424.46,6.85
Goa,2018,21357,2325.78,10.89,4521.28,21.17,2902.42,13.59,1992.61,9.33,2063.09,9.66,884.18,4.14,1900.77,8.9,574.5,2.69,1522.75,7.13,982.42,4.6,1685.07,7.89
Goa,2019,21639,2538.25,11.73,4213.11,19.47,1408.7,6.51,3834.43,17.72,2367.31,10.94,638.35,2.95,1869.61,8.64,779.0,3.6,1971.31,9.11,833.1,3.85,1187.98,5.49
Goa,2020,23884,2710.83,11.35,3436.91,14.39,2600.97,10.89,3329.43,13.94,2846.97,11.92,496.79,2.08,1538.13,6.44,855.05,3.58,2087.46,8.74,1681.43,7.04,2300.03,9.63
Goa,2021,26627,2313.89,8.69,4135.17,15.53,2231.34,8.38,4947.3,18.58,2750.57,10.33,511.24,1.92,1674.84,6.29,1182.24,4.44,1957.08,7.35,1786.67,6.71,3141.99,11.8
Goa,2022,28158,2646.85,9.4,5175.44,18.38,2244.19,7.97,3559.17,12.64,3240.99,11.51,1337.51,4.75,2874.93,10.21,813.77,2.89,2821.43,10.02,1655.69,5.88,1788.03,6.35
Goa,2023,30734,2744.55,8.93,5928.59,19.29,3724.96,12.12,3854.04,12.54,3804.87,12.38,417.98,1.36,2301.98,7.49,1284.68,4.18,2673.86,8.7,1530.55,4.98,2474.09,8.05
Goa,2024,37036,2825.85,7.63,5310.96,14.34,4970.23,13.42,7288.68,19.68,2596.22,7.01,1596.25,4.31,2692.52,7.27,1788.84,4.83,3025.84,8.17,2451.78,6.62,2492.52,6.73
Gujarat,1995,47700,2690.28,5.64,6887.88,14.44,7412.58,15.54,7560.45,15.85,3691.98,7.74,2437.47,5.11,5337.63,11.19,1955.7,4.1,2728.44,5.72,3167.28,6.64,3825.54,8.02
Gujarat,1996,49086,5409.28,11.02,8752.03,17.83,3450.75,7.03,8928.74,18.19,3882.7,7.91,1084.8,2.21,3274.04,6.67,1879.99,3.83,4992.05,10.17,2081.25,4.24,5350.37,10.9
Gujarat,1997,49864,3744.79,7.51,8985.49,18.02,5933.82,11.9,5694.47,11.42,4293.29,8.61,947.42,1.9,3350.86,6.72,3116.5,6.25,4088.85,8.2,3699.91,7.42,6003.63,12.04
Gujarat,1998,60088,6729.86,11.2,12137.78,20.2,5558.14,9.25,9145.39,15.22,5486.03,9.13,2764.05,4.6,4813.05,8.01,2343.43,3.9,3491.11,5.81,3166.64,5.27,4446.51,7.4
Gujarat,1999,66120,6175.61,9.34,8145.98,12.32,9117.95,13.79,9342.76,14.13,6744.24,10.2,3054.74,4.62,6770.69,10.24,1758.79,2.66,5064.79,7.66,3107.64,4.7,6843.42,10.35
Gujarat,2000,71409,3727.55,5.22,14988.75,20.99,5377.1,7.53,12153.81,17.02,7397.97,10.36,1692.39,2.37,6748.15,9.45,3734.69,5.23,3863.23,5.41,4420.22,6.19,7305.14,10.23
Gujarat,2001,74266,7827.64,10.54,9290.68,12.51,8733.68,11.76,13746.64,18.51,6899.31,9.29,2376.51,3.2,4359.41,5.87,4374.27,5.89,6646.81,8.95,4389.12,5.91,5621.94,7.57
Gujarat,2002,77122,4974.37,6.45,12648.01,16.4,6763.6,8.77,12648.01,16.4,5182.6,6.72,3886.95,5.04,5190.31,6.73,2475.62,3.21,7118.36,9.23,6917.84,8.97,9331.76,12.1
Gujarat,2003,79960,4117.94,5.15,13777.11,17.23,10426.78,13.04,12961.52,16.21,8427.78,10.54,3270.36,4.09,8035.98,10.05,2846.58,3.56,7092.45,8.87,4181.91,5.23,4813.59,6.02
Gujarat,2004,86357,5060.52,5.86,11554.57,13.38,11485.48,13.3,14145.28,16.38,9671.98,11.2,2910.23,3.37,4810.08,5.57,4844.63,5.61,6684.03,7.74,6632.22,7.68,8549.34,9.9
Gujarat,2005,91323,8036.42,8.8,12858.28,14.08,7725.93,8.46,14602.55,15.99,6091.24,6.67,3452.01,3.78,9442.8,10.34,5241.94,5.74,6018.19,6.59,7543.28,8.26,10301.23,11.28
Gujarat,2006,95481,8497.81,8.9,20127.39,21.08,13224.12,13.85,10980.32,11.5,8793.8,9.21,4277.55,4.48,5280.1,5.53,4764.5,4.99,5556.99,5.82,7781.7,8.15,6187.17,6.48
Gujarat,2007,122383,8175.18,6.68,26385.77,21.56,15359.07,12.55,24476.6,20.0,11724.29,9.58,2924.95,2.39,8517.86,6.96,3573.58,2.92,8162.95,6.67,5568.43,4.55,7538.79,6.16
Gujarat,2008,119935,11273.89,9.4,24958.47,20.81,15171.78,12.65,16191.23,13.5,9342.94,7.79,3586.06,2.99,6116.69,5.1,4665.47,3.89,10122.51,8.44,7591.89,6.33,10914.08,9.1
Gujarat,2009,122922,7756.38,6.31,26747.83,21.76,10804.84,8.79,16151.95,13.14,14935.02,12.15,1868.41,1.52,7424.49,6.04,4793.96,3.9,10608.17,8.63,7940.76,6.46,13890.19,11.3
Gujarat,2010,131328,13369.19,10.18,27106.1,20.64,14511.74,11.05,14288.49,10.88,16809.98,12.8,2574.03,1.96,14629.94,11.14,4281.29,3.26,7630.16,5.81,6618.93,5.04,9521.28,7.25
Gujarat,2011,160334,17604.67,10.98,34840.58,21.73,14365.93,8.96,21452.69,13.38,12954.99,8.08,2405.01,1.5,14365.93,8.96,9459.71,5.9,9652.11,6.02,9299.37,5.8,13949.06,8.7
Gujarat,2012,159841,18157.94,11.36,34813.37,21.78,14241.83,8.91,18269.83,11.43,13011.06,8.14,4187.83,2.62,9814.24,6.14,10069.98,6.3,11636.42,7.28,10213.84,6.39,15440.64,9.66
Gujarat,2013,185216,13483.72,7.28,38358.23,20.71,15817.45,8.54,37932.24,20.48,17225.09,9.3,5889.87,3.18,13391.12,7.23,8556.98,4.62,12316.86,6.65,10242.44,5.53,12002.0,6.48
Gujarat,2014,203917,20452.88,10.03,28731.91,14.09,18291.35,8.97,30424.42,14.92,24306.91,11.92,6831.22,3.35,16700.8,8.19,11154.26,5.47,17944.7,8.8,11521.31,5.65,17536.86,8.6
Gujarat,2015,224425,19098.57,8.51,46747.73,20.83,21567.24,9.61,22352.73,9.96,24641.87,10.98,8124.19,3.62,16854.32,7.51,12163.83,5.42,18649.72,8.31,14789.61,6.59,19435.21,8.66
Gujarat,2016,208401,20319.1,9.75,28571.78,13.71,27321.37,13.11,36261.77,17.4,20777.58,9.97,3167.7,1.52,14067.07,6.75,11399.53,5.47,13191.78,6.33,16067.72,7.71,17255.6,8.28
Gujarat,2017,261769,20182.39,7.71,58060.36,22.18,35993.24,13.75,26962.21,10.3,21910.07,8.37,6910.7,2.64,17774.12,6.79,8926.32,3.41,18402.36,7.03,20496.51,7.83,26124.55,9.98
Gujarat,2018,269500,26330.15,9.77,49237.65,18.27,26788.3,9.94,31181.15,11.57,26923.05,9.99,11130.35,4.13,29510.25,10.95,16170.0,6.0,21209.65,7.87,11534.6,4.28,19484.85,7.23
Gujarat,2019,288207,26745.61,9.28,55969.8,19.42,29656.5,10.29,45882.55,15.92,31068.71,10.78,4294.28,1.49,20779.72,7.21,9395.55,3.26,24843.44,8.62,22278.4,7.73,17263.6,5.99
Gujarat,2020,332836,27059.57,8.13,51489.73,15.47,40006.89,12.02,60176.75,18.08,37144.5,11.16,4160.45,1.25,31685.99,9.52,11382.99,3.42,20036.73,6.02,19470.91,5.85,30254.79,9.09
Gujarat,2021,306209,35459.0,11.58,45533.28,14.87,43451.06,14.19,42440.57,13.86,33560.51,10.96,6644.74,2.17,22353.26,7.3,14483.69,4.73,17453.91,5.7,14146.86,4.62,30651.52,10.01
Gujarat,2022,377436,40536.63,10.74,80997.77,21.46,47594.68,12.61,53671.4,14.22,25627.9,6.79,8530.05,2.26,28911.6,7.66,10681.44,2.83,32799.19,8.69,28873.85,7.65,19173.75,5.08
Gujarat,2023,364927,41090.78,11.26,77765.94,21.31,29011.7,7.95,50067.98,13.72,41200.26,11.29,13356.33,3.66,23063.39,6.32,19195.16,5.26,25873.32,7.09,23793.24,6.52,20545.39,5.63
Gujarat,2024,381542,33804.62,8.86,74896.69,19.63,28844.58,7.56,69173.56,18.13,36666.19,9.61,9462.24,2.48,22282.05,5.84,21633.43,5.67,32354.76,8.48,26631.63,6.98,25715.93,6.74
Haryana,1995,26460,1500.28,5.67,4545.83,17.18,3662.06,13.84,4633.15,17.51,2569.27,9.71,944.62,3.57,1666.98,6.3,1005.48,3.8,1272.73,4.81,1907.77,7.21,2754.49,10.41
Haryana,1996,26244,2847.47,10.85,5036.22,19.19,3046.93,11.61,2669.01,10.17,2070.65,7.89,1131.12,4.31,1829.21,6.97,1621.88,6.18,2173.0,8.28,1553.64,5.92,2264.86,8.63
Haryana,1997,30548,1985.62,6.5,5125.95,16.78,3610.77,11.82,5407.0,17.7,2590.47,8.48,485.71,1.59,2431.62,7.96,1478.52,4.84,2730.99,8.94,1667.92,5.46,3030.36,9.92
Haryana,1998,34692,2553.33,7.36,4981.77,14.36,2466.6,7.11,7198.59,20.75,3712.04,10.7,1620.12,4.67,2404.16,6.93,1869.9,5.39,3424.1,9.87,1901.12,5.48,2560.27,7.38
Haryana,1999,38570,3698.86,9.59,7077.6,18.35,4516.55,11.71,5446.08,14.12,3529.16,9.15,1292.1,3.35,3236.02,8.39,1689.37,4.38,3398.02,8.81,1720.22,4.46,2966.03,7.69
Haryana,2000,38878,2130.51,5.48,7647.3,19.67,4327.12,11.13,4575.94,11.77,4148.28,10.67,800.89,2.06,3207.43,8.25,2091.64,5.38,3666.2,9.43,2733.12,7.03,3553.45,9.14
Haryana,2001,45845,5024.61,10.96,10232.6,22.32,3704.28,8.08,5189.65,11.32,3332.93,7.27,1049.85,2.29,4754.13,10.37,2535.23,5.53,2796.55,6.1,3378.78,7.37,3841.81,8.38
Haryana,2002,42571,3167.28,7.44,8420.54,19.78,3695.16,8.68,7386.07,17.35,3439.74,8.08,919.53,2.16,2826.71,6.64,2349.92,5.52,3039.57,7.14,3341.82,7.85,3984.65,9.36
Haryana,2003,54473,3301.06,6.06,12152.93,22.31,5899.43,10.83,10366.21,19.03,4793.62,8.8,1318.25,2.42,2963.33,5.44,3164.88,5.81,3153.99,5.79,2636.49,4.84,4722.81,8.67
Haryana,2004,54513,6061.85,11.12,9528.87,17.48,4868.01,8.93,9272.66,17.01,6001.88,11.01,1662.65,3.05,4835.3,8.87,1706.26,3.13,4415.55,8.1,2038.79,3.74,4121.18,7.56
Haryana,2005,61206,4064.08,6.64,12645.16,20.66,6414.39,10.48,10735.53,17.54,4137.53,6.76,2160.57,3.53,5453.45,8.91,2442.12,3.99,5979.83,9.77,3445.9,5.63,3721.32,6.08
Haryana,2006,59177,5112.89,8.64,8485.98,14.34,5781.59,9.77,11681.54,19.74,4734.16,8.0,2414.42,4.08,5675.07,9.59,2189.55,3.7,5391.02,9.11,3485.53,5.89,4225.24,7.14
Haryana,2007,66631,6190.02,9.29,9808.08,14.72,8841.93,13.27,8535.43,12.81,5297.16,7.95,2611.94,3.92,5730.27,8.6,2472.01,3.71,6196.68,9.3,5730.27,8.6,5217.21,7.83
Haryana,2008,79304,6233.29,7.86,11744.92,14.81,11245.31,14.18,14829.85,18.7,6780.49,8.55,1633.66,2.06,7383.2,9.31,2307.75,2.91,6701.19,8.45,5178.55,6.53,5265.79,6.64
Haryana,2009,76925,7677.11,9.98,10623.34,13.81,10761.81,13.99,9707.93,12.62,7407.88,9.63,1107.72,1.44,8661.75,11.26,3853.94,5.01,6384.77,8.3,2977.0,3.87,7754.04,10.08
Haryana,2010,83936,7109.38,8.47,16174.47,19.27,8897.22,10.6,9870.87,11.76,9065.09,10.8,3088.84,3.68,5892.31,7.02,4255.56,5.07,7109.38,8.47,4364.67,5.2,8108.22,9.66
Haryana,2011,86025,11045.61,12.84,14366.17,16.7,12379.0,14.39,11028.41,12.82,6873.4,7.99,1625.87,1.89,6159.39,7.16,3208.73,3.73,6228.21,7.24,6279.82,7.3,6821.78,7.93
Haryana,2012,103897,8529.94,8.21,15044.29,14.48,11407.89,10.98,13018.29,12.53,13028.68,12.54,2680.54,2.58,5402.64,5.2,5402.64,5.2,10275.41,9.89,8540.33,8.22,10566.32,10.17
Haryana,2013,100340,7294.72,7.27,20439.26,20.37,13716.48,13.67,12010.7,11.97,8559.0,8.53,2307.82,2.3,12191.31,12.15,3943.36,3.93,7987.06,7.96,4635.71,4.62,7264.62,7.24
Haryana,2014,106037,8599.6,8.11,23317.54,21.99,9659.97,9.11,18683.72,17.62,7348.36,6.93,4389.93,4.14,5683.58,5.36,6128.94,5.78,8928.32,8.42,4941.32,4.66,8355.72,7.88
Haryana,2015,124587,11698.72,9.39,26001.31,20.87,8147.99,6.54,20943.07,16.81,8521.75,6.84,3176.97,2.55,12707.87,10.2,4061.54,3.26,7986.03,6.41,9231.9,7.41,12109.86,9.72
Haryana,2016,139991,16084.97,11.49,21292.63,15.21,17582.87,12.56,15091.03,10.78,17302.89,12.36,2631.83,1.88,10835.3,7.74,6719.57,4.8,12851.17,9.18,10177.35,7.27,9407.4,6.72
Haryana,2017,143851,12486.27,8.68,20527.54,14.27,17736.83,12.33,26655.59,18.53,17880.68,12.43,2517.39,1.75,15579.06,10.83,4243.6,2.95,10242.19,7.12,5768.43,4.01,10242.19,7.12
Haryana,2018,152188,15157.92,9.96,28976.6,19.04,18140.81,11.92,22052.04,14.49,13696.92,9.0,6878.9,4.52,12859.89,8.45,5265.7,3.46,10653.16,7.0,10150.94,6.67,8370.34,5.5
Haryana,2019,176348,13702.24,7.77,29714.64,16.85,20685.62,11.73,23560.09,13.36,19574.63,11.1,5696.04,3.23,19010.31,10.78,4585.05,2.6,13966.76,7.92,7724.04,4.38,18110.94,10.27
Haryana,2020,197852,25008.49,12.64,30864.91,15.6,21981.36,11.11,25859.26,13.07,25661.4,12.97,2987.57,1.51,13315.44,6.73,10228.95,5.17,14621.26,7.39,10268.52,5.19,17054.84,8.62
Haryana,2021,211684,21316.58,10.07,51312.2,24.24,22988.88,10.86,25296.24,11.95,21168.4,10.0,8361.52,3.95,12743.38,6.02,9165.92,4.33,17612.11,8.32,8488.53,4.01,13209.08,6.24
Haryana,2022,219991,24045.02,10.93,39224.4,17.83,24353.0,11.07,27454.88,12.48,23781.03,10.81,10955.55,4.98,16565.32,7.53,6137.75,2.79,13903.43,6.32,13705.44,6.23,19887.19,9.04
Haryana,2023,237591,22286.04,9.38,47803.31,20.12,28724.75,12.09,25564.79,10.76,25255.92,10.63,4799.34,2.02,16370.02,6.89,12877.43,5.42,22547.39,9.49,11974.59,5.04,19411.18,8.17
Haryana,2024,261629,19439.03,7.43,43692.04,16.7,20485.55,7.83,47014.73,17.97,29485.59,11.27,4526.18,1.73,24148.36,9.23,8764.57,3.35,26424.53,10.1,15645.41,5.98,21976.84,8.4
Himachal Pradesh,1995,8745,788.8,9.02,1129.85,12.92,822.03,9.4,1603.83,18.34,956.7,10.94,288.58,3.3,817.66,9.35,348.93,3.99,689.98,7.89,710.09,8.12,590.29,6.75
Himachal Pradesh,1996,8910,725.27,8.14,1129.79,12.68,1250.07,14.03,1592.22,17.87,801.9,9.0,272.65,3.06,931.99,10.46,273.54,3.07,683.4,7.67,640.63,7.19,607.66,6.82
Himachal Pradesh,1997,9430,743.08,7.88,1796.41,19.05,893.02,9.47,1159.89,12.3,1036.36,10.99,392.29,4.16,817.58,8.67,295.16,3.13,821.35,8.71,720.45,7.64,753.46,7.99
Himachal Pradesh,1998,9665,702.65,7.27,1782.23,18.44,1158.83,11.99,1175.26,12.16,962.63,9.96,404.96,4.19,855.35,8.85,544.14,5.63,739.37,7.65,430.09,4.45,908.51,9.4
Himachal Pradesh,1999,10775,747.78,6.94,1964.28,18.23,1496.65,13.89,1663.66,15.44,1233.74,11.45,316.79,2.94,941.74,8.74,373.89,3.47,562.46,5.22,555.99,5.16,918.03,8.52
Himachal Pradesh,2000,12243,1111.66,9.08,1989.49,16.25,1499.77,12.25,2157.22,17.62,941.49,7.69,517.88,4.23,1177.78,9.62,522.78,4.27,599.91,4.9,524.0,4.28,1201.04,9.81
